,Unnamed: 0,key,loc_x,loc_y,address,datetime,hashtag,address_unit
55,56,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,한림맛집,애월읍
56,57,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,한담맛집,애월읍
57,58,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주공항맛집,애월읍
58,59,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주혼밥하기좋은곳,애월읍
59,60,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,애월혼밥,애월읍
60,61,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주점심추천,애월읍
61,63,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주도,애월읍
62,64,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주,애월읍
63,65,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월맛집,애월읍
64,66,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월카레,애월읍
65,67,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,카레맛집,애월읍
66,68,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주핫플,애월읍
67,69,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주도민맛집,애월읍
68,70,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,짬뽕카레,애월읍
69,71,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주맛집,애월읍
70,72,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주혼밥맛집,애월읍
71,73,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주맛집추천,애월읍
72,74,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주오션뷰맛집,애월읍
73,75,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월밥집추천,애월읍
74,76,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주도카레,애월읍
75,77,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주저녁식사,애월읍
76,78,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,사이카레,애월읍
77,79,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주맛집추천,애월읍
78,80,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주도맛집,애월읍
79,81,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월저녁식사,애월읍
80,82,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주맛집추천,애월읍
81,83,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월점심추천,애월읍
82,84,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주혼밥추천,애월읍
83,85,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주시맛집,애월읍
84,86,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월해안도로맛집,애월읍
85,87,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주애월맛집,애월읍
86,88,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,한림맛집,애월읍
87,89,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,한담맛집,애월읍
88,90,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주공항맛집,애월읍
89,91,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주혼밥하기좋은곳,애월읍
90,92,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,애월혼밥,애월읍
91,93,https://www.instagram.com/p/CHxAb17l0Sr/,126.439341083568,33.4608856490895,제주특별자치도 제주시 애월읍 광령리,2020-11-19T08:31:49.000Z,제주점심추천,애월읍
92,95,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주도,애월읍
93,96,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주,애월읍
94,97,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월맛집,애월읍
95,98,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월카레,애월읍
96,99,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,카레맛집,애월읍
97,100,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주핫플,애월읍
98,101,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주도민맛집,애월읍
99,102,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,짬뽕카레,애월읍
100,103,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주맛집,애월읍
101,104,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주혼밥맛집,애월읍
102,105,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주맛집추천,애월읍
103,106,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주오션뷰맛집,애월읍
104,107,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월밥집추천,애월읍
105,108,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주도카레,애월읍
106,109,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주저녁식사,애월읍
107,110,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,사이카레,애월읍
108,111,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주맛집추천,애월읍
109,112,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주도맛집,애월읍
110,113,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월저녁식사,애월읍
111,114,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주맛집추천,애월읍
112,115,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월점심추천,애월읍
113,116,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주혼밥추천,애월읍
114,117,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주시맛집,애월읍
115,118,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월해안도로맛집,애월읍
116,119,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주애월맛집,애월읍
117,120,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,한림맛집,애월읍
118,121,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,한담맛집,애월읍
119,122,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주공항맛집,애월읍
120,123,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주혼밥하기좋은곳,애월읍
121,124,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,애월혼밥,애월읍
122,125,https://www.instagram.com/p/CHxAYGmFDw-/,126.37650912904101,33.4843983019781,제주특별자치도 제주시 애월읍 구엄리,2020-11-19T08:31:18.000Z,제주점심추천,애월읍
123,126,https://www.instagram.com/p/CHxARiKnYww/,126.80998754971,33.4904083697986,제주특별자치도 제주시 구좌읍 평대리 3161-1,2020-11-19T08:30:25.000Z,제주,구좌읍
124,127,https://www.instagram.com/p/CHxARiKnYww/,126.80998754971,33.4904083697986,제주특별자치도 제주시 구좌읍 평대리 3161-1,2020-11-19T08:30:25.000Z,제주도여행,구좌읍
125,128,https://www.instagram.com/p/CHxARiKnYww/,126.80998754971,33.4904083697986,제주특별자치도 제주시 구좌읍 평대리 3161-1,2020-11-19T08:30:25.000Z,제주가을,구좌읍
126,129,https://www.instagram.com/p/CHxARiKnYww/,126.80998754971,33.4904083697986,제주특별자치도 제주시 구좌읍 평대리 3161-1,2020-11-19T08:30:25.000Z,가을,구좌읍
127,130,https://www.instagram.com/p/CHxARiKnYww/,126.80998754971,33.4904083697986,제주특별자치도 제주시 구좌읍 평대리 3161-1,2020-11-19T08:30:25.000Z,제주비자림,구좌읍
128,131,https://www.instagram.com/p/CHxARiKnYww/,126.80998754971,33.4904083697986,제주특별자치도 제주시 구좌읍 평대리 3161-1,2020-11-19T08:30:25.000Z,비자림로,구좌읍
129,132,https://www.instagram.com/p/CHxANuMAlXR/,126.36304009134548,33.477241544636286,제주특별자치도 제주시 애월읍 신엄리 2735-1,2020-11-19T08:29:53.000Z,제주,애월읍
130,133,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,비가오는날,한림읍
131,134,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,낙엽우수수,한림읍
132,135,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,급추웡,한림읍
133,136,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,제주,한림읍
134,137,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,제주여행,한림읍
135,138,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,금오름,한림읍
136,139,https://www.instagram.com/p/CHxALrxp-_1/,126.305717639727,33.3545500138779,제주특별자치도 제주시 한림읍 금악리 산 1-1,2020-11-19T08:29:37.000Z,금오름노을,한림읍
137,140,https://www.instagram.com/p/CHxAIVMnnTo/,126.913247914755,33.4441341031852,제주특별자치도 서귀포시 성산읍 고성리 988-6,2020-11-19T08:29:09.000Z,표정무엇,성산읍
