,location,times,count_hashtags,hashtags
10,동홍동,['2020-11-24T07:25:59.000Z'],1,['찰칵찰칵']
11,법환동,"['2020-11-24T10:33:26.000Z', '2020-11-24T09:26:53.000Z', '2020-11-24T08:52:31.000Z']",23,"['자연비타민', '항공배송', '비타민', '제주귤', 'jeju', '감귤쥬스', '귤', '서귀포감귤', '노지귤', '번개배송', 'citrus', '숨겨진', '생산자직거래', '서귀포', '감귤', '제주감귤', '서귀포귤', '직거래', '서귀포카페', '제주']"
12,보목동,['2020-11-24T11:33:57.000Z'],8,"['제주도', '바위', '일몰', '혼여', '제주', '노을', '소천지', 'jeju']"
13,삼도1동,"['2020-11-29T20:29:10.000Z', '2020-11-29T20:25:55.000Z', '2020-11-24T09:11:13.000Z', '2020-11-29T20:31:49.000Z', '2020-11-29T20:30:14.000Z']",242,"['반려동물', '레트로감성사진관', '제주잔향', '커플사진', '흑백사진관', '제주도가볼만한곳', '필름사진', '제주스냅', '우정사진', 'idee', 'filmphotography', '빈티지감성', '프로필', '잔향사진관', '사진맛집', '제주', '여행사진', '제주도흑백사진관', '제주도', '잔향', 'jejuisland', '가족사진', '잔향다방', '공간스냅', '제주도여행', '마음쉼터', '빈티지사진관', '이데', 'vintagestyle', '제주도사진관', '감성사진']"
14,삼도2동,"['2020-11-24T08:11:50.000Z', '2020-11-24T13:38:56.000Z', '2020-11-29T14:47:42.000Z', '2020-11-29T08:51:00.000Z', '2020-11-24T08:25:52.000Z', '2020-11-24T08:25:58.000Z']",25,"['첫줄', '제주여행', '제주시새우리', 'jeju', '쿠키', '제주도', '비빔국수', '제주시여행', '제주', '제주맛집', '제주여행', '제주도맛집', '제주도', '서귀포시여행', '디앤디파트먼트제주', '자매국수', '제주도여행', '돔베고기', '서귀포시', '디엔디파트먼트', '드로잉', '제주시', '제주', '호야응디jeju', '고기국수']"
15,삼양2동,"['2020-11-24T08:29:59.000Z', '2020-11-27T09:52:21.000Z', '2020-11-24T09:26:34.000Z', '2020-11-24T11:55:33.000Z', '2020-11-24T09:10:14.000Z']",30,"['동글쌤의제주라이프', '코로나바이러스', '일몰', '제주형특별방역대책', '하쿠나마타타', '제주에오길잘했다', '제주도', '방역수칙준수', '힘내라대한민국', '제주', '제주댁', '마음비우기', '바다', '이번이젤심각한듯', '이주도민', '삼양해수욕장', '현대해상', '서귀포', '삼양해변', 'since2018', '이겨내요우리', '방역관리강화', '제주카페', '입도객특별방역조치', '제주', '삼양검은모래해변', '제주도민']"
16,상예동,"['2020-11-29T14:48:52.000Z', '2020-11-24T12:15:32.000Z', '2020-11-24T13:09:34.000Z', '2020-11-24T10:53:12.000Z', '2020-11-29T11:35:48.000Z', '2020-11-24T10:32:40.000Z', '2020-11-24T11:48:41.000Z']",37,"['인피티니풀', '히든클리프', 'workout', '제주여행', '다이어트', '운동스타그램', '오전열한시', 'jeju', '제주앓이', '운동하는여자', '소통', '헬린이', '럽스타그램', '또가곱', '제주', '유지어터', '제주도', '일상', '휴가', '헬스', '좋아요', '온수풀이라며', '동기부여', 'fitgirl', 'fitnessmotivation', '수영은_여름에', '좋반', '헬창', '제주카페', '제주', '썬샤인워크', '운동하는직장인', '헬스타그램', '운동기록']"
17,상효동,['2020-11-24T13:10:51.000Z'],12,"['제주살이', '제주도', '육아', '상효원', '육아스타그램', '제주', '서귀포', '상효원수목원', '육아일상', '제주도아기랑', '일상']"
18,색달동,"['2020-11-24T11:36:51.000Z', '2020-11-24T13:30:19.000Z', '2020-11-24T12:17:31.000Z', '2020-11-24T12:10:14.000Z', '2020-11-29T11:53:58.000Z', '2020-11-24T09:36:31.000Z', '2020-11-24T06:35:56.000Z', '2020-11-23T14:07:52.000Z', '2020-11-24T10:11:42.000Z']",151,"['사진취미', '한라산', '신논현', '흑돼지맛집', 'apple', '일상스타그램', '사진계정맞팔', '참을수있어요', '이번엔먹어줬지', '선팔', '사진소통', '정성으로구워주는', 'jejuisland', 'followforfollowback', '좋반', 'photograpy', '맛집', '무용', '포토존', '뷰스타그램', '문을빨리닫는곳', '제주도', '인친', '자연', '사진스타그램', '제주맛집', '눈', '여행스타그램', '풍경사진', '구름', '갯깍주상절리대', '좋아요', '아이폰', 'ff', 'likeforlikes', '아이폰xs', '고기는사랑', '하늘스타그램', '칠돈가', '제주여행', '중문맛집', '맛스타그램', '맞팔', '올때마다문닫아서못먹는곳', 'flashback', '근고기맛집', 'fff', '제주가볼만한곳', '주상절리', '풍경', '제주연돈', 'photo', '야경', '중문칠돈가', '운동하는여자', '강남', '예쁜', '일상', '맞팔', '먹스타그램', '병과점미남미녀', '1100고지', '전신샷', '제주', '느므느므맛있자네', 'cloud', '갯깍주상절리', '선팔', '제주명소', 'likesforlike', '기가막히니까', '아이폰', '흑돼지맛', '제주야경', 'jeju', '더본호텔', '갯깍주상절리', '제주', '좋아요반사', '웨이팅있어요', '제주도', '연돈', '하늘사진', '풍경스타그램', '서귀포', '제주도여행', '사진계정', 'travel', '숨은명소', '맛있으니까', '요가', '사진', '여행에미치다', '요가하는여자']"
19,서귀동,"['2020-11-24T06:29:17.000Z', '2020-11-21T13:11:41.000Z', '2020-11-24T08:10:31.000Z', '2020-11-29T08:55:23.000Z', '2020-11-24T09:36:05.000Z']",76,"['선팔', '제주도추천', '매일올레돈', '제주카페투어', '제주도횟집추천', '수제청', '카페투어', '서귀포맛집', '서귀포횟집', '서귀포올레시장맛집', '선팔하면맞팔', '제주횟집', '서귀포횟집추천', '제주올레시장맛집', '3일차', '여기제주', '좋아요테러', '올레시장맛집', '제주도', '서귀포매일올레시장', '7살딸', '제주감귤', '제주도서귀포', '엑티브파크', '제주', '서귀포올레시장', '제주여행', '서귀포현지인맛집', '서귀포흑돼지', '서귀포카페투어', '올레시장먹거리', '제주도', '제주횟집추천', '여기제주프로젝트', '선팔', '이중섭거리맛집', '스파이더맨', '제주도횟집', '선팔맞팔', '서귀포여행', '천지연폭포맛집', '도민맛집', '제주도여행', '서귀포', 'veke', '제주도서귀포횟집', '좋아요', '서귀포맛집', '제주도여행', '소통', '좋반', '제주살이', '제주카페추천', '클라이밍', '일상', '서귀포카페', '좋반', '맞팔', '소통해요', '제주카페', '쌍둥이횟집', '서귀포카페', '서귀포카페추천', '서귀포', '제주', '도민횟집', '체험단', '제주도가볼만한곳', '올레시장', '제주도민', '베케', '좋아요반사', '뀰']"
20,서호동,"['2020-11-24T07:25:06.000Z', '2020-11-29T22:38:01.000Z']",28,"['한라산', '제주여행', '에그베네딕트맛집', '서귀포브런치', '중문레스토랑', '제주도케이터링', '감귤밭', '제주도레스토랑', '귤밭레스토랑', '브런치레스토랑', '3단플레이트', '레스토랑대관', '제주도', '중문브런치', '스몰웨딩', '프라이빗파티', '파티룸', '하이데어', '제주도파티', '케이터링', '서귀포레스토랑', '제주도브런치', '1인쉐프', '웨딩케이터링', '제주', '하이데어키친', '제주도돌잔치', '서귀포파티']"
21,서홍동,"['2020-11-24T07:39:10.000Z', '2020-11-24T12:50:30.000Z', '2020-11-29T12:56:24.000Z']",15,"['칠십리시공원', '동백꽃필무렵', '롸잇나우', '외돌개', '내사진', '사진', '제주여행', '더조아짐서귀포', '여행사진', '제주', '서귀포', '굿나잇', '동백꽃', '여행']"
